context_class,context_subclass,api
crypto,certificate,crypt32.dll!CertAddCertificateContextToStore
crypto,certificate,crypt32.dll!CertAddEncodedCertificateToStore
crypto,certificate,crypt32.dll!CertCloseStore
crypto,certificate,crypt32.dll!CertCreateCertificateChainEngine
crypto,certificate,crypt32.dll!CertCreateCertificateContext
crypto,certificate,crypt32.dll!CertDeleteCertificateFromStore
crypto,certificate,crypt32.dll!CertDuplicateCertificateContext
crypto,certificate,crypt32.dll!CertEnumCertificatesInStore
crypto,certificate,crypt32.dll!CertEnumSystemStore
crypto,certificate,crypt32.dll!CertFindCertificateInStore
crypto,certificate,crypt32.dll!CertFindChainInStore
crypto,certificate,crypt32.dll!CertFreeCertificateChain
crypto,certificate,crypt32.dll!CertFreeCertificateChainEngine
crypto,certificate,crypt32.dll!CertFreeCertificateContext
crypto,certificate,crypt32.dll!CertGetCertificateChain
crypto,certificate,crypt32.dll!CertGetCertificateContextProperty
crypto,certificate,crypt32.dll!CertGetEnhancedKeyUsage
crypto,certificate,crypt32.dll!CertGetNameStringA
crypto,certificate,crypt32.dll!CertGetNameStringW
crypto,certificate,crypt32.dll!CertNameToStrW
crypto,certificate,crypt32.dll!CertOpenStore
crypto,certificate,crypt32.dll!CertOpenSystemStoreA
crypto,certificate,crypt32.dll!CertOpenSystemStoreW
crypto,certificate,crypt32.dll!CertSetCertificateContextProperty
crypto,certificate,crypt32.dll!CertVerifyCertificateChainPolicy
crypto,certificate,crypt32.dll!CertVerifyRevocation
crypto,certificate,crypt32.dll!CertVerifyTimeValidity
crypto,certificate,crypt32.dll!CryptAcquireCertificatePrivateKey
crypto,certificate,crypt32.dll!CryptHashCertificate
crypto,certificate,crypt32.dll!PFXExportCertStore
crypto,certificate,crypt32.dll!PFXExportCertStoreEx
crypto,certificate,crypt32.dll!PFXImportCertStore
crypto,certificate,crypt32.dll!PFXIsPFXBlob
crypto,certificate,wintrust.dll!WinVerifyTrust
crypto,crypt,advapi32.dll!CryptAcquireContextA
crypto,crypt,advapi32.dll!CryptAcquireContextW
crypto,crypt,advapi32.dll!CryptDecrypt
crypto,crypt,advapi32.dll!CryptDeriveKey
crypto,crypt,advapi32.dll!CryptDestroyKey
crypto,crypt,advapi32.dll!CryptDuplicateKey
crypto,crypt,advapi32.dll!CryptEncrypt
crypto,crypt,advapi32.dll!CryptEnumProvidersA
crypto,crypt,advapi32.dll!CryptEnumProvidersW
crypto,crypt,advapi32.dll!CryptExportKey
crypto,crypt,advapi32.dll!CryptGenKey
crypto,crypt,advapi32.dll!CryptGenRandom
crypto,crypt,advapi32.dll!CryptGetKeyParam
crypto,crypt,advapi32.dll!CryptGetProvParam
crypto,crypt,advapi32.dll!CryptGetUserKey
crypto,crypt,advapi32.dll!CryptImportKey
crypto,crypt,advapi32.dll!CryptReleaseContext
crypto,crypt,advapi32.dll!CryptSetKeyParam
crypto,crypt,advapi32.dll!CryptVerifySignatureA
crypto,crypt,advapi32.dll!CryptVerifySignatureW
crypto,crypt,advapi32.dll!DecryptFileA
crypto,crypt,bcrypt.dll!BCryptEnumRegisteredProviders
